Date,Open,High,Low,Close,Adj Close,Volume
2022-03-28,37.959999,38.240002,37.759998,38.240002,37.221832,2568200
2022-04-04,38.040001,38.369999,36.820000,37.650002,36.829037,33281100
2022-04-11,37.779999,38.040001,37.189999,37.240002,36.427975,21997800
2022-04-18,37.200001,38.279999,36.580002,37.000000,36.193207,35089200
2022-04-25,37.320000,38.549999,36.639999,37.400002,36.584488,35627700
2022-05-02,37.520000,37.860001,36.029999,36.959999,36.154079,43807000
2022-05-09,36.900002,38.009998,36.500000,37.209999,36.398628,54789500
2022-05-16,37.139999,37.410000,33.560001,34.580002,33.825981,68021600
2022-05-23,34.990002,35.869999,34.720001,35.180000,34.412895,49596300
2022-05-30,35.080002,35.330002,34.049999,34.930000,34.168346,62090500
2022-06-06,37.250000,37.320000,35.200001,35.490002,34.716137,63505400
2022-06-13,35.090000,35.389999,33.349998,34.349998,33.600994,194142800
2022-06-20,34.189999,35.910000,34.110001,35.759998,34.980247,53609800
2022-06-27,35.759998,36.330002,35.040001,36.070000,35.283489,34448100
2022-07-04,36.080002,36.459999,35.439999,36.200001,35.598225,29728200
2022-07-11,36.320000,36.880001,35.830002,36.630001,36.021076,30261000
2022-07-18,36.669998,36.680000,35.950001,36.430000,35.824402,32452200
2022-07-25,36.500000,38.759998,36.439999,38.740002,38.096001,34999200
2022-08-01,38.849998,39.419998,38.099998,38.720001,38.076328,31508600
2022-08-08,38.950001,40.070000,38.630001,39.299999,38.646690,36045900
2022-08-15,39.250000,41.310001,39.230000,39.959999,39.295715,37651100
2022-08-22,39.720001,39.990002,38.580002,38.619999,37.977993,27037300
2022-08-29,38.430000,39.020000,37.650002,37.830002,37.201130,27100300
2022-09-05,37.869999,38.900002,37.509998,38.689999,38.046829,23846000
2022-09-12,38.810001,39.080002,36.709999,37.169998,36.552094,60541300
2022-09-19,37.240002,37.950001,36.619999,37.080002,36.463596,29634700
2022-09-26,37.020000,37.529999,35.709999,35.820000,35.224537,38094100
2022-10-03,35.930000,37.689999,35.810001,36.500000,36.090614,39940200
2022-10-10,36.430000,38.400002,36.310001,37.330002,36.911304,40411400
2022-10-17,37.650002,38.520000,37.000000,37.619999,37.198051,25923800
2022-10-24,38.139999,39.730000,37.250000,39.549999,39.106403,35513800
2022-10-31,38.959999,39.150002,36.259998,36.980000,36.565228,44996900
2022-11-07,37.130001,38.509998,36.889999,37.340000,36.921192,34916600
2022-11-14,37.419998,37.470001,36.200001,37.419998,37.000294,43885000
2022-11-21,37.610001,38.459999,37.419998,38.250000,37.820988,20733400
2022-11-28,38.320000,38.939999,37.779999,38.740002,38.305492,38655500
2022-12-05,38.330002,38.380001,37.599998,37.930000,37.504574,29748700
2022-12-12,38.110001,38.689999,35.450001,36.070000,35.665436,57434300
2022-12-19,36.110001,36.720001,35.939999,36.369999,35.962070,33430200
2022-12-26,36.500000,36.529999,35.380001,35.660000,35.260033,17948300
2023-01-02,35.650002,36.389999,35.150002,36.259998,35.853302,28248800
2023-01-09,36.180000,36.560001,35.290001,35.689999,35.487732,26817400
2023-01-16,35.869999,36.090000,34.200001,34.709999,34.513287,32235800
2023-01-23,34.700001,35.040001,34.310001,34.700001,34.503345,29681100
2023-01-30,34.700001,35.599998,34.509998,35.150002,34.950794,28412200
2023-02-06,35.139999,35.349998,34.700001,35.279999,35.080055,31770600
2023-02-13,35.340000,36.009998,35.160000,35.669998,35.467846,35395000
2023-02-20,35.619999,36.230000,35.130001,35.790001,35.587166,27309000
2023-02-27,35.880001,35.919998,34.009998,34.549999,34.354195,59003100
2023-03-06,34.540001,35.090000,34.080002,34.320000,34.125496,33330600
2023-03-13,34.389999,35.279999,34.230000,34.860001,34.662437,47820600
2023-03-20,35.279999,35.349998,34.060001,34.869999,34.672379,49719400
2023-03-27,35.000000,35.419998,34.990002,35.279999,35.080055,43015700
2023-03-31,35.410000,35.415001,35.169998,35.279999,35.279999,10791929
