Date,Open,High,Low,Close,Adj Close,Volume
2021-12-27,207.520004,209.330002,205.669998,206.509995,204.638504,607900
2022-01-03,206.679993,209.179993,194.570007,204.059998,202.210709,7066400
2022-01-10,205.020004,209.300003,189.309998,192.059998,190.319458,6300800
2022-01-17,191.649994,192.149994,166.020004,167.669998,166.150497,10800700
2022-01-24,164.710007,175.610001,162.190002,169.009995,167.478363,11084900
2022-01-31,167.389999,179.669998,165.740005,175.910004,174.542099,6548300
2022-02-07,176.720001,181.750000,170.679993,172.410004,171.069305,5764900
2022-02-14,172.839996,176.800003,167.960007,168.589996,167.279022,6084100
2022-02-21,168.610001,173.339996,155.669998,171.360001,170.027481,7074200
2022-02-28,168.220001,174.539993,161.990005,164.889999,163.607788,7445200
2022-03-07,164.750000,167.020004,155.940002,160.389999,159.142792,7374800
2022-03-14,163.000000,171.500000,156.520004,170.509995,169.184082,7709000
2022-03-21,170.369995,174.210007,163.529999,166.740005,165.443405,4904300
2022-03-28,166.020004,173.990005,161.059998,161.929993,160.670792,4776300
2022-04-04,161.820007,164.500000,153.839996,158.130005,156.900360,8074400
2022-04-11,157.449997,167.809998,150.000000,160.750000,159.499985,6621500
2022-04-18,159.539993,167.360001,156.910004,157.059998,155.838669,5908000
2022-04-25,155.660004,156.759995,148.910004,149.220001,148.059647,5036900
2022-05-02,149.750000,156.720001,142.509995,144.910004,144.038956,6307900
2022-05-09,143.059998,147.160004,136.309998,141.419998,140.569931,4854300
2022-05-16,140.820007,146.050003,137.949997,144.899994,144.029007,5490400
2022-05-23,148.490005,157.470001,143.490005,157.410004,156.463821,4052800
2022-05-30,155.360001,156.979996,152.199997,153.740005,152.815872,4563800
2022-06-06,155.009995,155.850006,140.919998,141.470001,140.619614,7196600
2022-06-13,137.800003,142.089996,133.369995,136.300003,135.480698,7542300
2022-06-20,139.750000,146.970001,137.070007,146.910004,146.026932,5110500
2022-06-27,147.850006,149.899994,141.509995,147.380005,146.494110,5136500
2022-07-04,144.169998,153.100006,142.070007,150.940002,150.032715,3721200
2022-07-11,149.559998,158.169998,146.000000,155.800003,154.863480,6110400
2022-07-18,156.440002,162.820007,152.160004,158.660004,157.706299,5799000
2022-07-25,159.300003,163.039993,154.649994,162.710007,161.731964,4012800
2022-08-01,161.520004,164.570007,156.809998,163.960007,163.258682,5500000
2022-08-08,165.000000,169.000000,161.190002,168.899994,168.177521,4667800
2022-08-15,167.710007,171.089996,162.940002,163.539993,162.840454,3690200
2022-08-22,160.929993,163.300003,155.570007,155.639999,154.974258,2705000
2022-08-29,154.500000,154.889999,148.529999,149.240005,148.601624,4057200
2022-09-05,149.990005,156.649994,145.529999,155.919998,155.253052,2526500
2022-09-12,157.029999,158.529999,140.940002,141.740005,141.133713,6875200
2022-09-19,140.220001,144.520004,132.639999,135.190002,134.611725,4879600
2022-09-26,134.380005,137.240005,130.350006,130.550003,129.991577,5482900
2022-10-03,132.000000,142.429993,130.449997,137.029999,136.443848,5064700
2022-10-10,138.350006,138.350006,110.790001,112.589996,112.108391,10457600
2022-10-17,114.410004,123.599998,109.379997,112.349998,111.869423,12920100
2022-10-24,113.379997,120.739998,111.589996,120.290001,119.775459,6065700
2022-10-31,119.949997,122.160004,112.720001,114.599998,114.372833,9411900
2022-11-07,115.500000,130.740005,106.860001,129.110001,128.854080,16959500
2022-11-14,128.360001,131.619995,120.489998,121.949997,121.708267,7142200
2022-11-21,121.870003,125.089996,120.919998,124.209999,123.963791,3249400
2022-11-28,122.639999,130.470001,119.830002,126.169998,125.919899,6244000
2022-12-05,124.720001,124.720001,114.699997,116.980003,116.748123,9636800
2022-12-12,116.860001,128.929993,116.230003,121.050003,120.810059,11859100
2022-12-19,120.690002,121.790001,116.169998,119.400002,119.163322,5315300
2022-12-26,119.349998,123.349998,117.589996,122.989998,122.746208,2316300
